Week Ending,Initial Claims (SA),Initial Claims (NSA),4-wk Moving Avg Initial (SA),Initial Fed,New Discharge Vet,Cont Regular State,Cont Fed,Cont Vet,Cont Total
2025-04-05,223000,215932,223000,,,,,,
2025-03-29,219000,200085,223000,508,384,,,,
2025-03-22,225000,199900,224250,564,387,2053689,7719,4371,2090330
2025-03-15,225000,207398,228750,821,383,2067504,8245,4476,2105563
2025-03-08,221000,214005,226200,1066,472,2111440,9135,4574,2152132
2025-03-01,222000,226019,224500,1580,364,2144569,8648,4272,2182265
2025-02-22,242000,220856,224000,1634,312,2222152,8215,4376,2265338
2025-02-15,220000,223538,215500,614,353,2154630,7412,4306,2194763
2025-02-08,214000,232745,216250,613,399,2184081,7612,4309,2223730
2025-02-01,220000,241101,217000,599,465,2180805,7110,4405,2219020
2025-01-25,208000,228320,212750,494,386,2245268,7445,4607,2282332
2025-01-18,223000,284325,213500,494,391,2163993,6666,4365,2196784
2025-01-11,217000,352357,212750,595,334,2235063,7372,4489,2272815
2025-01-04,203000,306657,213500,478,309,2265408,6861,4479,2301359
2024-12-28,211000,283488,223250,340,201,2178985,6376,4422,2213451
2024-12-21,220000,275557,226750,506,314,1853524,6212,4161,1886295
2024-12-14,220000,252071,225500,547,375,1939507,6558,4618,1974802
2024-12-07,242000,309459,224250,755,500,1857699,6032,4547,1892655
2024-11-30,225000,211226,218500,399,226,1923629,5984,4754,1960316
2024-11-23,215000,245133,217500,751,389,1655715,5088,4259,1688241
2024-11-16,215000,214288,218250,523,330,1715238,5026,4522,1751411
2024-11-09,219000,230785,221500,615,408,1654613,4757,4443,1688003
2024-11-02,221000,212743,227250,506,382,1640593,4447,4388,1675108
2024-10-26,218000,201447,237000,528,339,1640346,4243,4554,1673188
2024-10-19,228000,203481,238750,387,378,1608883,4038,4494,1642554
2024-10-12,242000,225269,236500,425,406,1622657,3903,4588,1651582
2024-10-05,260000,236179,231500,477,369,1593136,3820,4351,1621462
2024-09-28,225000,181210,224250,311,369,1608816,3929,4694,1637509
2024-09-21,219000,181713,225000,275,398,1608349,4033,4621,1637000
2024-09-14,222000,186835,228250,312,418,1623003,4001,4656,1651701
2024-09-07,231000,178409,231000,263,432,1666869,3898,3613,1693145
2024-08-31,228000,190631,230250,269,382,1699515,3858,4354,1727379
2024-08-24,232000,192741,231750,306,390,1794248,4191,4572,1824683
2024-08-17,233000,192463,236250,284,356,1837274,4307,4538,1867777
2024-08-10,228000,200846,236750,337,408,1850393,4632,4703,1883076
2024-08-03,234000,204030,241000,332,432,1877951,4505,3801,1907364
2024-07-27,250000,216643,238250,312,391,1901137,4852,4669,1932128
2024-07-20,235000,225839,235500,387,375,1928469,4769,4521,1960497
2024-07-13,245000,280592,235250,473,426,1907619,4659,4556,1938840
2024-07-06,223000,242208,233750,321,360,1939950,4711,4445,1970273
2024-06-29,239000,239379,238750,370,423,1790300,4564,4374,1818194
2024-06-22,234000,225100,236250,335,382,1815698,4395,4515,1845176
2024-06-15,239000,227980,233000,344,385,1743077,4526,4469,1772050
2024-06-08,243000,236046,227250,419,449,1722973,4553,4294,1751111
2024-06-01,229000,196177,222250,400,405,1703352,4634,4314,1731049
2024-05-25,221000,197164,223000,353,304,1665849,4401,4320,1693747
2024-05-18,216000,192717,220000,338,368,1661653,4648,4457,1690819
2024-05-11,223000,197680,218000,386,405,1681952,4494,4386,1710930
2024-05-04,232000,210050,215250,385,388,1681410,4737,4260,1710945
2024-04-27,209000,189634,210250,343,351,1738632,4764,4339,1768413
2024-04-20,208000,202624,213500,365,360,1748544,5030,4370,1778454
2024-04-13,212000,208982,214500,361,378,1807952,5091,4457,1837520
2024-04-06,212000,215265,214500,327,435,1843636,5273,4345,1874031
2024-03-30,222000,197349,214500,322,369,1923021,5546,4675,1953037
2024-03-23,212000,193921,211500,371,368,1932174,5881,4331,1965550
2024-03-16,212000,191772,211750,362,379,2007581,5891,4439,2038127
2024-03-09,212000,202722,208750,365,419,2002385,6241,4405,2037081
2024-03-02,210000,214424,208500,393,497,2072184,6205,4467,2107039
2024-02-24,217000,195774,213000,330,323,2105599,6869,4298,2143876
2024-02-17,202000,199337,215500,337,361,2084410,6589,4184,2121432
2024-02-10,213000,223985,218750,382,392,2086107,6819,4014,2122829
2024-02-03,220000,234729,212750,411,380,2133266,6893,4377,2171213
2024-01-27,227000,232727,208500,502,370,2122892,6953,4276,2160218
2024-01-20,215000,259947,202500,420,357,2174421,7383,4491,2212478
2024-01-13,189000,291330,203750,762,415,2047142,6708,4186,2081002
2024-01-06,203000,318906,208000,643,375,2116954,6766,4526,2148149